Time,Disturbance
0.0000,-0.0535
0.0200,-0.0998
0.0400,-0.1349
0.0600,-0.1572
0.0800,-0.1674
0.1000,-0.1677
0.1200,-0.1612
0.1400,-0.1515
0.1600,-0.1419
0.1800,-0.1352
0.2000,-0.1324
0.2200,-0.1331
0.2400,-0.1349
0.2600,-0.1452
0.2800,-0.1729
0.3000,-0.2143
0.3200,-0.2591
0.3400,-0.2951
0.3600,-0.3120
0.3800,-0.3037
0.4000,-0.2695
0.4200,-0.2139
0.4400,-0.1449
0.4600,-0.0717
0.4800,0.0000
0.5000,0.0637
0.5200,0.0927
0.5400,0.0717
0.5600,0.0012
0.5800,-0.1070
0.6000,-0.2348
0.6200,-0.3619
0.6400,-0.4685
0.6600,-0.5391
0.6800,-0.5639
0.7000,-0.5414
0.7200,-0.4789
0.7400,-0.3936
0.7600,-0.3163
0.7800,-0.2721
0.8000,-0.2693
0.8200,-0.3027
0.8400,-0.3582
0.8600,-0.4166
0.8800,-0.4577
0.9000,-0.4632
0.9200,-0.4200
0.9400,-0.3228
0.9600,-0.1769
0.9800,0.0000
1.0000,0.1813
1.0200,0.3495
1.0400,0.4846
1.0600,0.5661
1.0800,0.5790
1.1000,0.5171
1.1200,0.3850
1.1400,0.1977
1.1600,-0.0220
1.1800,-0.2477
1.2000,-0.4562
1.2200,-0.6361
1.2400,-0.7968
1.2600,-0.9474
1.2800,-1.0801
1.3000,-1.1892
1.3200,-1.2717
1.3400,-1.3266
1.3600,-1.3550
1.3800,-1.3594
1.4000,-1.3430
1.4200,-1.3096
1.4400,-1.2631
1.4600,-1.2068
1.4800,-1.1429
1.5000,-1.0728
1.5200,-1.0010
1.5400,-0.9323
1.5600,-0.8715
1.5800,-0.8230
1.6000,-0.7903
1.6200,-0.7762
1.6400,-0.7819
1.6600,-0.8074
1.6800,-0.8507
1.7000,-0.9079
1.7200,-0.9726
1.7400,-1.0355
1.7600,-1.0860
1.7800,-1.1152
1.8000,-1.1174
1.8200,-1.0894
1.8400,-1.0306
1.8600,-0.9421
1.8800,-0.8266
1.9000,-0.6880
1.9200,-0.5311
1.9400,-0.3608
1.9600,-0.1823
1.9800,0.0000
2.0000,0.1751
2.0200,0.3156
2.0400,0.4138
2.0600,0.4802
2.0800,0.5338
2.1000,0.5935
2.1200,0.6732
2.1400,0.7785
2.1600,0.9051
2.1800,1.0405
2.2000,1.1674
2.2200,1.2693
2.2400,1.3388
2.2600,1.3779
2.2800,1.3814
2.3000,1.3379
2.3200,1.2369
2.3400,1.0746
2.3600,0.8566
2.3800,0.5987
2.4000,0.3251
2.4200,0.0639
2.4400,-0.1592
2.4600,-0.3300
2.4800,-0.4571
2.5000,-0.5775
2.5200,-0.7167
2.5400,-0.8752
2.5600,-1.0395
2.5800,-1.1897
2.6000,-1.3067
2.6200,-1.3759
2.6400,-1.3902
2.6600,-1.3508
2.6800,-1.2666
2.7000,-1.1507
2.7200,-1.0167
2.7400,-0.8717
2.7600,-0.7161
2.7800,-0.5574
2.8000,-0.4095
2.8200,-0.2865
2.8400,-0.1981
2.8600,-0.1469
2.8800,-0.1271
2.9000,-0.1261
2.9200,-0.1265
2.9400,-0.1107
2.9600,-0.0675
2.9800,0.0000
3.0000,0.0682
3.0200,0.1152
3.0400,0.1376
3.0600,0.1443
3.0800,0.1495
3.1000,0.1673
3.1200,0.2077
3.1400,0.2750
3.1600,0.3664
3.1800,0.4734
3.2000,0.5839
3.2200,0.6864
3.2400,0.7744
3.2600,0.8288
3.2800,0.8257
3.3000,0.7591
3.3200,0.6369
3.3400,0.4761
3.3600,0.2979
3.3800,0.1245
3.4000,-0.0246
3.4200,-0.1357
3.4400,-0.2026
3.4600,-0.2288
3.4800,-0.2286
3.5000,-0.2213
3.5200,-0.2125
3.5400,-0.2120
3.5600,-0.2332
3.5800,-0.2871
3.6000,-0.3777
3.6200,-0.5005
3.6400,-0.6422
3.6600,-0.7832
3.6800,-0.9012
3.7000,-0.9780
3.7200,-1.0075
3.7400,-1.0061
3.7600,-1.0084
3.7800,-1.0311
3.8000,-1.0689
3.8200,-1.1045
3.8400,-1.1171
3.8600,-1.0885
3.8800,-1.0077
3.9000,-0.8723
3.9200,-0.6892
3.9400,-0.4721
3.9600,-0.2379
3.9800,0.0000
4.0000,0.2332
4.0200,0.4404
4.0400,0.6006
4.0600,0.7003
4.0800,0.7357
4.1000,0.7127
4.1200,0.6459
4.1400,0.5573
4.1600,0.4721
4.1800,0.4149
4.2000,0.4036
4.2200,0.4427
4.2400,0.5161
4.2600,0.6096
4.2800,0.7224
4.3000,0.8496
4.3200,0.9837
4.3400,1.1171
4.3600,1.2439
4.3800,1.3607
4.4000,1.4670
4.4200,1.5645
4.4400,1.6563
4.4600,1.7446
4.4800,1.8286
4.5000,1.9044
4.5200,1.9754
4.5400,2.0434
4.5600,2.1064
4.5800,2.1600
4.6000,2.1981
4.6200,2.2143
4.6400,2.2026
4.6600,2.1582
4.6800,2.0782
4.7000,1.9625
4.7200,1.8145
4.7400,1.6407
4.7600,1.4437
4.7800,1.2259
4.8000,0.9968
4.8200,0.7696
4.8400,0.5581
4.8600,0.3745
4.8800,0.2272
4.9000,0.1198
4.9200,0.0511
4.9400,0.0150
4.9600,0.0018
4.9800,0.0000
5.0000,-0.0036
5.0200,-0.0252
5.0400,-0.0746
5.0600,-0.1538
5.0800,-0.2591
5.1000,-0.3825
5.1200,-0.5136
5.1400,-0.6409
5.1600,-0.7534
5.1800,-0.8421
5.2000,-0.9012
5.2200,-0.9298
5.2400,-0.9323
5.2600,-0.9106
5.2800,-0.8644
5.3000,-0.7984
5.3200,-0.7196
5.3400,-0.6346
5.3600,-0.5486
5.3800,-0.4640
5.4000,-0.3804
5.4200,-0.2951
5.4400,-0.2044
5.4600,-0.1058
5.4800,0.0000
5.5000,0.1067
5.5200,0.2105
5.5400,0.3113
5.5600,0.4100
5.5800,0.5075
5.6000,0.6036
5.6200,0.6961
5.6400,0.7812
5.6600,0.8536
5.6800,0.9075
5.7000,0.9376
5.7200,0.9415
5.7400,0.9211
5.7600,0.8828
5.7800,0.8308
5.8000,0.7662
5.8200,0.6894
5.8400,0.6013
5.8600,0.5044
5.8800,0.4028
5.9000,0.3018
5.9200,0.2076
5.9400,0.1254
5.9600,0.0572
5.9800,0.0000
6.0000,-0.0579
6.0200,-0.1295
6.0400,-0.2181
6.0600,-0.3192
6.0800,-0.4251
6.1000,-0.5270
6.1200,-0.6175
6.1400,-0.6918
6.1600,-0.7480
6.1800,-0.7868
6.2000,-0.8104
6.2200,-0.8203
6.2400,-0.8144
6.2600,-0.7876
6.2800,-0.7396
6.3000,-0.6752
6.3200,-0.6012
6.3400,-0.5242
6.3600,-0.4491
6.3800,-0.3779
6.4000,-0.3095
6.4200,-0.2410
6.4400,-0.1680
6.4600,-0.0875
6.4800,0.0000
6.5000,0.0825
6.5200,0.1345
6.5400,0.1463
6.5600,0.1231
6.5800,0.0778
6.6000,0.0250
6.6200,-0.0227
6.6400,-0.0576
6.6600,-0.0777
6.6800,-0.0862
6.7000,-0.0893
6.7200,-0.0926
6.7400,-0.0958
6.7600,-0.0924
6.7800,-0.0825
6.8000,-0.0727
6.8200,-0.0706
6.8400,-0.0811
6.8600,-0.1039
6.8800,-0.1333
6.9000,-0.1585
6.9200,-0.1659
6.9400,-0.1434
6.9600,-0.0854
6.9800,0.0000
7.0000,0.0908
7.0200,0.1792
7.0400,0.2653
7.0600,0.3501
7.0800,0.4346
7.1000,0.5182
7.1200,0.5989
7.1400,0.6725
7.1600,0.7339
7.1800,0.7772
7.2000,0.7974
7.2200,0.7921
7.2400,0.7637
7.2600,0.7191
7.2800,0.6628
7.3000,0.5966
7.3200,0.5215
7.3400,0.4390
7.3600,0.3520
7.3800,0.2649
7.4000,0.1833
7.4200,0.1133
7.4400,0.0595
7.4600,0.0233
7.4800,0.0000
7.5000,-0.0252
7.5200,-0.0717
7.5400,-0.1457
7.5600,-0.2426
7.5800,-0.3519
7.6000,-0.4619
7.6200,-0.5620
7.6400,-0.6448
7.6600,-0.7070
7.6800,-0.7489
7.7000,-0.7731
7.7200,-0.7820
7.7400,-0.7738
7.7600,-0.7433
7.7800,-0.6911
7.8000,-0.6235
7.8200,-0.5493
7.8400,-0.4759
7.8600,-0.4083
7.8800,-0.3475
7.9000,-0.2909
7.9200,-0.2329
7.9400,-0.1670
7.9600,-0.0889
7.9800,0.0000
8.0000,0.0913
8.0200,0.1809
8.0400,0.2651
8.0600,0.3385
8.0800,0.3947
8.1000,0.4273
8.1200,0.4302
8.1400,0.3986
8.1600,0.3292
8.1800,0.2208
8.2000,0.0753
8.2200,-0.1027
8.2400,-0.3054
8.2600,-0.5367
8.2800,-0.8007
8.3000,-1.0856
8.3200,-1.3712
8.3400,-1.6348
8.3600,-1.8565
8.3800,-2.0223
8.4000,-2.1261
8.4200,-2.1703
8.4400,-2.1642
8.4600,-2.1218
8.4800,-2.0571
8.5000,-1.9866
8.5200,-1.9406
8.5400,-1.9337
8.5600,-1.9630
8.5800,-2.0139
8.6000,-2.0658
8.6200,-2.0965
8.6400,-2.0863
8.6600,-2.0214
8.6800,-1.8957
8.7000,-1.7131
8.7200,-1.4882
8.7400,-1.2460
8.7600,-1.0129
8.7800,-0.8088
8.8000,-0.6481
8.8200,-0.5376
8.8400,-0.4751
8.8600,-0.4495
8.8800,-0.4427
8.9000,-0.4318
8.9200,-0.3937
8.9400,-0.3102
8.9600,-0.1745
8.9800,0.0000
9.0000,0.1782
9.0200,0.3342
9.0400,0.4596
9.0600,0.5572
9.0800,0.6368
9.1000,0.7116
9.1200,0.7955
9.1400,0.9002
9.1600,1.0339
9.1800,1.1992
9.2000,1.3924
9.2200,1.6033
9.2400,1.8154
9.2600,2.0183
9.2800,2.2045
9.3000,2.3616
9.3200,2.4769
9.3400,2.5416
9.3600,2.5531
9.3800,2.5161
9.4000,2.4418
9.4200,2.3457
9.4400,2.2439
9.4600,2.1478
9.4800,2.0571
9.5000,1.9590
9.5200,1.8521
9.5400,1.7384
9.5600,1.6194
9.5800,1.4954
9.6000,1.3663
9.6200,1.2318
9.6400,1.0919
9.6600,0.9469
9.6800,0.7981
9.7000,0.6479
9.7200,0.5006
9.7400,0.3615
9.7600,0.2182
9.7800,0.0573
9.8000,-0.1142
9.8200,-0.2779
9.8400,-0.4121
9.8600,-0.4988
9.8800,-0.5268
9.9000,-0.4946
9.9200,-0.4100
9.9400,-0.2879
9.9600,-0.1464
9.9800,0.0000
10.0000,0.1400
10.0200,0.2467
10.0400,0.2989
10.0600,0.2880
10.0800,0.2162
10.1000,0.0948
10.1200,-0.0581
10.1400,-0.2209
10.1600,-0.3716
10.1800,-0.4922
10.2000,-0.5727
10.2200,-0.6165
10.2400,-0.6456
10.2600,-0.6907
10.2800,-0.7689
10.3000,-0.8846
10.3200,-1.0322
10.3400,-1.1988
10.3600,-1.3673
10.3800,-1.5187
10.4000,-1.6355
10.4200,-1.7040
10.4400,-1.7172
10.4600,-1.6776
10.4800,-1.6000
10.5000,-1.5063
10.5200,-1.4023
10.5400,-1.2959
10.5600,-1.1992
10.5800,-1.1229
10.6000,-1.0731
10.6200,-1.0499
10.6400,-1.0465
10.6600,-1.0510
10.6800,-1.0490
10.7000,-1.0283
10.7200,-0.9849
10.7400,-0.9308
10.7600,-0.8954
10.7800,-0.8942
10.8000,-0.9207
10.8200,-0.9559
10.8400,-0.9771
10.8600,-0.9638
10.8800,-0.9028
10.9000,-0.7895
10.9200,-0.6290
10.9400,-0.4336
10.9600,-0.2193
10.9800,0.0000
11.0000,0.2196
11.0200,0.4355
11.0400,0.6348
11.0600,0.8017
11.0800,0.9240
11.1000,0.9962
11.1200,1.0224
11.1400,1.0151
11.1600,0.9941
11.1800,0.9813
11.2000,0.9948
11.2200,1.0408
11.2400,1.1037
11.2600,1.1686
11.2800,1.2373
11.3000,1.3102
11.3200,1.3852
11.3400,1.4587
11.3600,1.5264
11.3800,1.5834
11.4000,1.6253
11.4200,1.6485
11.4400,1.6512
11.4600,1.6338
11.4800,1.6000
11.5000,1.5518
11.5200,1.4801
11.5400,1.3850
11.5600,1.2757
11.5800,1.1652
11.6000,1.0661
11.6200,0.9874
11.6400,0.9329
11.6600,0.9008
11.6800,0.8848
11.7000,0.8759
11.7200,0.8659
11.7400,0.8520
11.7600,0.8324
11.7800,0.8000
11.8000,0.7488
11.8200,0.6755
11.8400,0.5809
11.8600,0.4701
11.8800,0.3520
11.9000,0.2379
11.9200,0.1398
11.9400,0.0670
11.9600,0.0228
11.9800,0.0000
12.0000,-0.0240
12.0200,-0.0745
12.0400,-0.1601
12.0600,-0.2759
12.0800,-0.4096
12.1000,-0.5459
12.1200,-0.6704
12.1400,-0.7720
12.1600,-0.8446
12.1800,-0.8878
12.2000,-0.9058
12.2200,-0.9063
12.2400,-0.8973
12.2600,-0.8812
12.2800,-0.8622
12.3000,-0.8505
12.3200,-0.8570
12.3400,-0.8895
12.3600,-0.9499
12.3800,-1.0337
12.4000,-1.1299
12.4200,-1.2239
12.4400,-1.3004
12.4600,-1.3492
12.4800,-1.3714
12.5000,-1.3835
12.5200,-1.3974
12.5400,-1.4132
12.5600,-1.4243
12.5800,-1.4218
12.6000,-1.3979
12.6200,-1.3478
12.6400,-1.2708
12.6600,-1.1709
12.6800,-1.0552
12.7000,-0.9330
12.7200,-0.8118
12.7400,-0.6942
12.7600,-0.5780
12.7800,-0.4650
12.8000,-0.3613
12.8200,-0.2741
12.8400,-0.2080
12.8600,-0.1641
12.8800,-0.1388
12.9000,-0.1246
12.9200,-0.1115
12.9400,-0.0894
12.9600,-0.0516
12.9800,0.0000
13.0000,0.0541
13.0200,0.1038
13.0400,0.1455
13.0600,0.1760
13.0800,0.1930
13.1000,0.1946
13.1200,0.1797
13.1400,0.1479
13.1600,0.0997
13.1800,0.0371
13.2000,-0.0369
13.2200,-0.1174
13.2400,-0.1975
13.2600,-0.2690
13.2800,-0.3264
13.3000,-0.3674
13.3200,-0.3923
13.3400,-0.4038
13.3600,-0.4060
13.3800,-0.4038
13.4000,-0.4022
13.4200,-0.4054
13.4400,-0.4161
13.4600,-0.4344
13.4800,-0.4571
13.5000,-0.4838
13.5200,-0.5300
13.5400,-0.5978
13.5600,-0.6762
13.5800,-0.7484
13.6000,-0.7981
13.6200,-0.8134
13.6400,-0.7895
13.6600,-0.7295
13.6800,-0.6429
13.7000,-0.5430
13.7200,-0.4423
13.7400,-0.3461
13.7600,-0.2523
13.7800,-0.1649
13.8000,-0.0937
13.8200,-0.0484
13.8400,-0.0342
13.8600,-0.0491
13.8800,-0.0836
13.9000,-0.1220
13.9200,-0.1450
13.9400,-0.1353
13.9600,-0.0841
13.9800,0.0000
14.0000,0.0847
14.0200,0.1400
14.0400,0.1620
14.0600,0.1640
14.0800,0.1671
14.1000,0.1928
14.1200,0.2577
14.1400,0.3700
14.1600,0.5287
14.1800,0.7243
